Population,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,TechSupport,Tenure,MonthlyCharge,Gender_Male,Gender_Nonbinary,Techie_TechSupport
38,0,68,28561.99,0,7.978322947,10,0,1,0,0,6.795512947,172.455519,True,False,0
10446,1,27,21704.77,1,11.69907956,12,0,1,1,0,1.156680997,242.632554,False,False,0
3735,4,50,9609.57,0,10.75280028,9,0,1,1,0,15.75414408,159.947583,False,False,0
13863,1,48,18925.23,0,14.91353964,15,2,0,1,0,17.08722662,119.95684,True,False,0
11352,0,83,40074.19,1,8.147416533,16,2,1,0,1,1.670971726,149.948316,True,False,0
17701,3,83,22660.2,0,8.420992898,15,3,1,0,0,7.000993555,185.007692,False,False,0
2535,0,79,11467.5,1,11.18272453,10,0,1,1,1,13.23677381,200.118516,True,False,1
23144,2,30,26759.64,1,7.791632265,16,0,0,1,0,4.26425515,114.950905,False,False,0
17351,2,49,58634.51,0,5.739005915,20,2,3,0,0,8.220686373,117.468591,False,True,0
20193,1,86,50231.4,0,8.707823904,18,1,0,0,0,3.422086139,162.482694,False,False,0
555,7,23,22580.7,0,9.341631685,9,0,2,0,0,19.26726194,174.958118,False,False,0
33372,2,56,18342.12,0,6.68082638,17,1,1,0,0,10.52199781,149.962093,False,False,0
556,0,83,83671.08,0,8.273875452,9,0,0,0,0,13.01149229,137.439154,True,False,0
0,5,29,115114.57,0,5.880565591,14,1,0,0,1,16.87922024,184.971516,False,False,0
8165,1,30,64256.81,1,11.79073041,10,3,0,0,1,10.06019902,159.965581,True,False,0
2093,3,39,89061.45,1,10.79846973,13,1,0,0,0,13.87001293,177.65076,True,False,0
50079,0,63,31659.3,1,13.52284721,13,1,0,0,0,15.78214958,194.966286,False,False,0
7249,2,60,44142.81,1,9.831166695,16,3,0,0,1,2.303331273,202.682861,True,False,0
9463,3,61,39262.14,0,9.57470568,11,1,0,1,1,17.10995632,152.490739,False,False,1
3177,3,23,19494.75,1,10.92246098,10,1,0,0,0,12.80615845,149.944668,True,False,0
69,4,38,39624.21,0,12.06889188,14,0,3,0,0,20.45390977,184.978458,True,False,0
14440,3,30,45714.47,0,6.984819996,18,1,0,0,0,2.415991977,127.495766,True,False,0
381,3,52,27442.03,0,9.372975594,16,1,1,0,1,6.652298992,124.964303,True,False,0
2193,2,68,79699.62,0,7.109002592,9,0,0,0,1,8.543717478,149.948316,True,False,0
9434,3,75,28520.32,1,13.74777955,15,1,0,0,0,5.770390256,162.511928,False,False,0
29568,1,77,12558.83,1,9.767668044,12,1,0,0,0,4.157658837,92.455141,True,False,0
3089,1,47,8762.23,1,15.8626095,15,0,1,0,0,10.40566091,222.649979,False,False,0
5652,0,70,43882.72,1,14.73616645,12,0,0,0,0,1.392421597,139.981577,False,False,0
1716,3,20,10482.52,1,13.43558029,13,2,0,1,0,1.430386349,200.132293,False,False,0
52484,4,69,33442.79,1,10.61771118,18,1,0,0,0,5.425864884,257.651257,True,False,0
11268,9,45,43383.54,0,6.613070806,14,0,0,0,0,11.08287797,230.105118,True,False,0
1765,0,40,21793.88,0,4.450171647,13,2,0,0,1,3.586184954,147.489301,False,False,0
680,6,82,51960.51,1,8.774646693,9,0,0,0,0,4.727388465,230.105118,False,False,0
136,5,74,25942.1,1,11.13156721,8,1,1,0,0,20.89923386,174.958118,True,False,0
1517,4,69,11211.59,1,5.540788887,15,1,0,0,1,3.471329958,267.664655,True,False,0
14103,1,52,8283.29,1,13.80362698,11,0,1,0,1,5.478588204,162.483267,True,False,0
6394,2,26,10114.81,1,16.31017089,16,1,1,0,1,3.312991809,229.993134,False,False,0
